family,class,species,forma,sex,angle,webUrl,isMimic,background,antennalIllusion,photographer
Salticidae,Arachnida,Myrmarachne macleayana,foreli,Female,Dorsal,images/3109.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne macleayana,foreli,Female,Lateral,images/3112.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne macleayana,foreli,Female,Anterior,images/3114.jpg,TRUE,Artificial,TRUE,Jim
Salticidae,Arachnida,Myrmarachne smaragdina,,Male,Dorsal,images/4013.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne smaragdina,,Male,Lateral,images/4017.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne smaragdina,,Female,Dorsal,images/4029.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne smaragdina,,Female,Lateral,images/4030.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne helensmithae,,Female,Lateral,images/4199.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne macleayana,robsoni,Male,Dorsal,images/4230.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne macleayana,robsoni,Male,Lateral,images/4233.jpg,TRUE,Artificial,TRUE,Jim
Salticidae,Arachnida,Myrmarachne helensmithae,,Female,Dorsal,images/4755.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Ligonipes lacertosus,,,Dorsal,images/Z020.jpg,TRUE,Natural,FALSE,Robert Whyte
Salticidae,Arachnida,Ligonipes lacertosus,,,Lateral,images/Z021.jpg,TRUE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Battalus byrneae,,,Anterior,images/Z022.jpg,FALSE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Copa kabana,,,Dorsal,images/Z023.jpg,FALSE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Disnyssus judidenchae,,,Dorsal,images/Z024.jpg,FALSE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Iridonyssus formicans,,,Dorsal,images/Z025.jpg,FALSE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Leichhardteus albofasciatus,,,Posterior,images/Z026.jpg,FALSE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Leichhardteus conopalpis,,,Dorsal,images/Z027.jpg,FALSE,Natural,FALSE,Robert Whyte
Salticidae,Arachnida,Ligonipes lacertosus,,,Lateral,images/Z028.jpg,TRUE,Natural,FALSE,Robert Whyte
Salticidae,Arachnida,Myrmarachne macaulayi,,Female,Dorsal,images/Z029.jpg,TRUE,Natural,TRUE,Robert Whyte
Salticidae,Arachnida,Myrmarachne macaulayi,,Male,Lateral,images/Z030.jpg,TRUE,Natural,TRUE,Robert Whyte
Salticidae,Arachnida,Myrmarachne macaulayi,,Female,Posterior,images/Z031.jpg,TRUE,Natural,TRUE,Robert Whyte
Corinnidae,Arachnida,Nyssus coloripes,,,Dorsal,images/Z032.jpg,FALSE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Nyssus luteofinis,,,Lateral,images/Z033.jpg,TRUE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Nyssus paradoxus,,,Anterior,images/Z034.jpg,FALSE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Nyssus paradoxus,,,Dorsal,images/Z035.jpg,FALSE,Artificial,FALSE,Robert Whyte
Corinnidae,Arachnida,Nyssus supunnoides,,,Dorsal,images/Z037.jpg,FALSE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Nyssus albopunctatus,,,Dorsal,images/Z038.jpg,FALSE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Nyssus luteofinis,,,Lateral,images/Z039.jpg,TRUE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Iridonyssus kohouti,,,Dorsal,images/Z040.jpg,TRUE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Nyssus coloripes,,,Lateral,images/Z041.jpg,TRUE,Natural,FALSE,Robert Whyte
Formicidae,Insecta,Formicid sp.,,,Lateral,images/IMG_8943.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Dolichoderus scabridus,,,Dorsal,images/IMG_8184.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Leptomyrmex sp.,,,Dorsal,images/IMG_8113.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Camponotus sp.,,,Dorsal,images/IMG_7181.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Myrmecia sp.,,,Dorsal,images/IMG_7019.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Dolichoderus scabridus,,,Dorsal,images/IMG_5789.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Formicid sp.,,,Dorsal,images/IMG_4510.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Polyrhachis sp.,,,Dorsal,images/IMG_4460.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Dolichoderus sp.,,,Dorsal,images/A011.jpg,FALSE,Natural,FALSE,Robert Whyte
Formicidae,Insecta,Dolichoderus sp.,,,Anterior,images/A010.jpg,FALSE,Natural,FALSE,Robert Whyte
Formicidae,Insecta,Idiomyrmex sp.,,,Lateral,images/A001.jpg,FALSE,Natural,FALSE,Robert Whyte
Formicidae,Insecta,Orectognathus versicolor,,,Dorsal,images/A002.jpg,FALSE,Natural,FALSE,Robert Whyte
Formicidae,Insecta,Polyrhachis rufifemur,,,Dorsal,images/A003.jpg,FALSE,Natural,FALSE,Robert Whyte
Formicidae,Insecta,Polyrhachis rufifemur,,,Lateral,images/A004.jpg,FALSE,Natural,FALSE,Robert Whyte
Formicidae,Insecta,Polyrhachis rufifemur,,,Lateral,images/A005.jpg,FALSE,Natural,FALSE,Robert Whyte
Formicidae,Insecta,Polyrhachis daemeli,,,Dorsal,images/A006.jpg,FALSE,Natural,FALSE,Robert Whyte
Formicidae,Insecta,Myrmecia nigrocincta,,,Lateral,images/A007.jpg,FALSE,Natural,FALSE,Robert Whyte
Formicidae,Insecta,Myrmecia nigrocincta,,,Dorsal,images/A008.jpg,FALSE,Natural,FALSE,Robert Whyte
Formicidae,Insecta,Myrmecia nigrocincta,,,Dorsal,images/A009.jpg,FALSE,Natural,FALSE,Robert Whyte
Salticidae,Arachnida,Myrmapana plataleoides,,,Dorsal,images/s01.jpg,TRUE,Natural,FALSE,Pavel Kirillov
Formicidae,Insecta,Formicid sp.,,,Dorsal,images/s02.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s03.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Anterior,images/s04.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Dorsal,images/s05.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Anterior,images/s06.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s07.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Anterior,images/s08.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s09.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s10.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s11.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Dorsal,images/s12.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s13.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s14.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Dorsal,images/s15.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s16.jpg,FALSE,Artificial,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s17.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s18.jpg,FALSE,Artificial,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Dorsal,images/s19.jpg,FALSE,Artificial,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s20.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Formicid sp.,,,Lateral,images/s21.jpg,FALSE,Natural,FALSE,Pixabay
Formicidae,Insecta,Camponotus nigriceps,,,Dorsal,images/246.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid10 sp1,,,Lateral,images/1888.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid10 sp1,,,Anterior,images/1890.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid10 sp1,,,Dorsal,images/1886.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid1 sp1,,,Dorsal,images/1290.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid1 sp1,,,Dorsal,images/1294.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid1 sp1,,,Lateral,images/1291.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid22 sp1,,,Lateral,images/4085.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid22 sp1,,,Dorsal,images/4083.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid28 sp1,,,Dorsal,images/4499.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid28 sp1,,,Lateral,images/4502.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid29 sp1,,,Dorsal,images/4522.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Formicid28 sp1,,,Lateral,images/4525.jpg,FALSE,Artificial,FALSE,Jim
Corinnidae,Arachnida,Aetius nocturnus,,,Dorsal,images/s22.jpg,TRUE,Natural,FALSE,Orionmystery
Coleoptera,Insecta,Coleoptera2 sp1,,,Lateral,images/2125.jpg,FALSE,Artificial,FALSE,Jim
Gnaphosidae,Arachnida,Eilica sp1,,,Lateral,images/1683.jpg,FALSE,Artificial,FALSE,Jim
Salticidae,Arachnida,Rhombonotus gracilis,,,Lateral,images/1635.jpg,TRUE,Natural,FALSE,Jim
Salticidae,Arachnida,Rhombonotus gracilis,,,Dorsal,images/1632.jpg,TRUE,Natural,FALSE,Jim
Gnaphosidae,Arachnida,Eilica sp1,,,Dorsal,images/1554.jpg,FALSE,Artificial,FALSE,Jim
Salticidae,Arachnida,Cosmophasis bitaeniata,,,Lateral,images/532.jpg,TRUE,Natural,FALSE,Jim
Salticidae,Arachnida,Cosmophasis bitaeniata,,,Anterior,images/517.jpg,TRUE,Natural,FALSE,Jim
Salticidae,Arachnida,Cosmophasis bitaeniata,,,Dorsal,images/516.jpg,TRUE,Natural,FALSE,Jim
Coleoptera,Insecta,Coleoptera2 sp1,,,Dorsal,images/334.jpg,FALSE,Artificial,FALSE,Jim
Formicidae,Insecta,Dolichoderus clarki,,,Anterior,images/490.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Dolichoderus clarki,,,Lateral right side,images/491.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Dolichoderus clarki,,,Dorsal,images/493.jpg,FALSE,Natural,FALSE,Jim
Cicadellidae,Insecta,Eurymela rubrolimbata,,,Dorsal,images/650.jpg,FALSE,Natural,FALSE,Jim
Cicadellidae,Insecta,Eurymela rubrolimbata,,,Lateral,images/651.jpg,FALSE,Natural,FALSE,Jim
Cicadellidae,Insecta,Eurymela rubrolimbata (nymph),,,Lateral right side,images/475.jpg,TRUE,Natural,FALSE,Jim
Cicadellidae,Insecta,Eurymela rubrolimbata (nymph),,,Dorsal,images/474.jpg,TRUE,Natural,FALSE,Jim
