"angle","species","specimenId","mimicType","imageabletype","imageableid","created_at","updated_at","id","kingdom","phylum","class","order","family","genus","taxonRank","scientificName","scientificNameAuthorship","vernacularName","description","individualCount","bodylength","sex","lifeStage","form","notes","idconfidence","other","ref","disposition","numphotos","Ant.mimic.","Sex","Notes","Done.","accuracy"
"Dorsal","Helpis minitabunda","266","non-mimic","Specimen",266,"2017-01-06 03:44:51 UTC","2017-01-06 03:44:53 UTC",266,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Helpis","Species","Helpis minitabunda","(L. Koch, 1880)","","Large jumping spider",1,8.2,"","","","Possible predator?","1","","50-2","",4,NA,NA,NA,NA,0.574673489148504
"Dorsal","Camponotus nigriceps","267","model","Specimen",267,"2017-01-06 03:44:53 UTC","2017-01-06 03:44:54 UTC",267,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Species","Camponotus nigriceps","(Smith, 1858)","","Large sugar ant",2,15.3,"","","","","","","51-1","",5,NA,NA,NA,NA,0.899808819680907
"Dorsal","Araneae10 sp1","270","non-mimic","Specimen",270,"2017-01-06 03:44:55 UTC","2017-01-06 03:44:56 UTC",270,"Animalia","Arthropoda","Arachnida","Araneae","","Araneae10","Species","Araneae10 sp1","","","Red legged spider",1,10,"","","","","","","51-4","",4,NA,NA,NA,NA,0.681882797975335
"Dorsal","Diptera1 sp1","274","mimic","Specimen",274,"2017-01-06 04:02:13 UTC","2017-01-06 04:02:36 UTC",274,"Animalia","Arthropoda","Insecta","Diptera","","Diptera1","Species","Diptera1 sp1","","","Ant mimic fly",1,12.6,"","","","","","Ant mimic","52-1","",7,NA,NA,NA,NA,0.679702400522776
"Dorsal","Crematogaster sp1","31","model","Specimen",31,"2017-01-06 03:44:23 UTC","2017-01-06 03:44:25 UTC",31,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Crematogaster","Species","Crematogaster sp1","","","Small red and black  ant",7,3.2,"","","","","1","","5b-6","",2,NA,NA,NA,NA,0.843507570801284
"Dorsal","Myrmarachne erythrocephala","346","mimic","Specimen",346,"2017-01-06 03:44:56 UTC","2017-01-06 03:44:58 UTC",346,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne erythrocephala","(Koch, 1879)","","Ant mimic spider",1,4.5,"","","forma ornata","Found on sheet while sampling leaf litter, escaped from care","1","Ant mimic","68-1","Lost",5,NA,NA,NA,NA,0.863100384190316
"Dorsal","Myrmarachne luctuosa","380","mimic","Specimen",380,"2017-01-06 03:45:00 UTC","2017-01-06 03:45:01 UTC",380,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","Ant mimic spider",1,7.2,"","","","On trunk of tree","1","Ant mimic","77-1","",4,NA,NA,NA,NA,0.819732983785839
"Dorsal","Coleoptera2 sp1","381","mimic","Specimen",381,"2017-01-06 03:45:03 UTC","2017-01-06 04:03:27 UTC",381,"Animalia","Arthropoda","Insecta","Coleoptera","","Coleoptera2","Species","Coleoptera2 sp1","","","Ant mimic beetle",2,6,"","","","On trunk of tree","","Ant mimic","77-2","In collection",6,NA,NA,NA,NA,0.707205399994818
"Dorsal","Polyrhachis sp2","384","model","Specimen",384,"2017-01-06 03:45:08 UTC","2017-01-06 04:04:34 UTC",384,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Polyrhachis","Species","Polyrhachis sp2","","","Black ant, golden thorax",3,7.5,"","","","","","","79-2","",7,NA,NA,NA,NA,0.902914800128818
"Dorsal","Myrmarachne erythrocephala","385","mimic","Specimen",385,"2017-02-02 01:41:48 UTC","2017-02-02 01:41:49 UTC",385,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne erythrocephala","(Koch, 1879)","","Ant mimic spider",1,6.2,"","","forma ornata","On trunk of tree near pitfall 8","","Ant mimic","80-1","",5,NA,NA,NA,NA,0.862470670086002
"Dorsal","Myrmarachne luctuosa","386","mimic","Specimen",386,"2017-01-10 22:43:00 UTC","2017-01-11 05:31:52 UTC",386,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","Ant mimic spider",1,6,"Male","","","On trunk. Killed by freezing. Its opisthosoma ruptured after manipulation for photos on a hot day.
Pickled on 31-Jan-2017 in 96% ethanol","Aus Mus","Ant mimic","KS.129687","Aus Mus",20,NA,NA,NA,NA,0.813511969099996
"Dorsal","Myrmarachne luctuosa","387","mimic","Specimen",387,"2017-01-13 01:40:33 UTC","2017-01-13 01:40:35 UTC",387,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","Small ant mimic spider",1,4,"","juvenile","","Pickled 31-Jan-2017 in 96% ethanol.
Seems to have lateral white stripe on abdomen like erythrocephala but gold looks like luctuosa.","Aus Mus tentative","Ant mimic","AA.1409","Aus Mus",8,NA,NA,NA,NA,0.850835736356988
"Dorsal","Myrmarachne luctuosa","388","mimic","Specimen",388,"2017-02-15 04:46:47 UTC","2017-08-20 07:34:04 UTC",388,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","Ant-mimic spider",1,6.2,"Male","","","Found in location with lots of Dolichoderus clarki, although they weren't on the same tree. 
Died 30-Jan-2017. 
Pickled in 96% ethanol","Aus Mus","Ant mimic","KS.129706","Aus Mus",17,NA,NA,NA,NA,0.652495800535634
"Dorsal","Eurymela rubrolimbata","393","mimic","Specimen",393,"2017-08-15 15:30:25 UTC","2017-08-15 15:30:29 UTC",393,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Eurymela","Species","Eurymela rubrolimbata","(Kirkaldy, 1906)","","",1,5.4,"","Instar","","23-1-17 10:30am Died under spectroscope. Asphyxiated by glad-wrap? Squashed?
Pickled on 31-Jan-2017 in 96% ethanol","Matt Bulbert","Ant mimic bug","","In collection",11,NA,NA,NA,NA,0.269978364518594
"Dorsal","Eurymela rubrolimbata","394","non-mimic","Specimen",394,"2017-08-15 16:07:16 UTC","2017-08-15 16:07:19 UTC",394,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Eurymela","Species","Eurymela rubrolimbata","(Kirkaldy, 1906)","","",1,10.4,"","Adult","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","Matt Bulbert","","","In collection",5,NA,NA,NA,NA,0.00526983264018221
"Dorsal","Cosmophasis bitaeniata","397","mimic","Specimen",397,"2017-07-08 07:21:36 UTC","2017-07-08 07:21:40 UTC",397,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Cosmophasis","Species","Cosmophasis bitaeniata","(Keyserling, 1882)","Green Tree Ant Cosmophasis","",1,7.4,"","","","Purchased spider","5","Ant-mimic spider","","Cassis collection",7,NA,NA,NA,NA,0.6236197784149
"Dorsal","Amyciaea albomaculata","398","mimic","Specimen",398,"2017-02-02 12:28:49 UTC","2017-02-02 12:28:50 UTC",398,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Amyciaea","Species","Amyciaea albomaculata","(O.P.-Cambridge, 1874)","","Green ant mimicking spider",1,5.3,"","","","Purchased spider","","Ant-mimic spider","","Cassis collection",8,NA,NA,NA,NA,0.747491888791944
"Dorsal","Amyciaea albomaculata","399","mimic","Specimen",399,"2017-02-01 23:24:11 UTC","2017-02-01 23:24:12 UTC",399,"Animalia","Arthropoda","Arachnida","Araneae","Thomisidae","Amyciaea","Species","Amyciaea albomaculata","(O.P.-Cambridge, 1874)","","Green ant mimicking spider",1,4.8,"","","","Purchased spider. 
Died 20-Jan-2017. 
Pickled in 96% ethanol","","Ant mimic","","Cassis collection",7,NA,NA,NA,NA,0.685001711047015
"Dorsal","Cosmophasis bitaeniata","400","mimic","Specimen",400,"2017-07-09 08:46:05 UTC","2017-07-09 08:46:10 UTC",400,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Cosmophasis","Species","Cosmophasis bitaeniata","(Keyserling, 1882)","Green Tree Ant Cosmophasis","",1,7.8,"","","","Purchased spider","5","Ant-mimic spider","","Cassis collection",8,NA,NA,NA,NA,0.643766947152714
"Dorsal","Cosmophasis bitaeniata","401","mimic","Specimen",401,"2017-07-09 13:20:26 UTC","2017-07-09 13:20:29 UTC",401,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Cosmophasis","Species","Cosmophasis bitaeniata","(Keyserling, 1882)","Green Tree Ant Cosmophasis","",1,6,"","","","Purchased spider","5","Ant-mimic spider","","Cassis collection",8,NA,NA,NA,NA,0.612008340921828
"Dorsal","Myrmarachne smaragdina","4012","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male","Photo","Yes",0.822633880780036
"Dorsal","Myrmarachne smaragdina","4013","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male","Photo","Yes",0.840550912977883
"Dorsal","Myrmarachne smaragdina","4028","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female","Photo","Yes",0.87045220489675
"Dorsal","Myrmarachne smaragdina","4029","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female","Photo","Yes",0.879251924029173
"Dorsal","Myrmarachne smaragdina","4033","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female","Photo","Yes",0.892325598348377
"Dorsal","Coleoptera3 sp1","404","mimic","Specimen",404,"2017-04-24 13:20:16 UTC","2017-04-24 13:20:17 UTC",404,"Animalia","Arthropoda","Insecta","Coleoptera","","Coleoptera3","Species","Coleoptera3 sp1","","","Ant mimic beetle",1,11,"","","","Found by Alex.
Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","Ant-mimic beetle","","In collection",4,NA,NA,NA,NA,0.580466304782082
"Dorsal","Daerlac apicalis","405","mimic","Specimen",405,"2017-02-01 11:14:24 UTC","2017-02-01 23:09:54 UTC",405,"Animalia","Arthropoda","Insecta","Hemiptera","Rhyparochromidae","Daerlac","Species","Daerlac apicalis","(Distant, 1904)","","Ant-mimic bug",1,7,"","","","It was walking around on the ground. Never attempted to fly.","0","Ant mimic bug","","Cassis collection",6,NA,NA,NA,NA,0.506936117106425
"Dorsal","Poecilipta contorqua","410","mimic","Specimen",410,"2017-03-26 11:57:10 UTC","2017-03-26 11:57:11 UTC",410,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Poecilipta","Species","Poecilipta contorqua","","","Ant-mimic spider",1,5,"Male","","","Stano Pekar says it may be Nyssus. sp
Poecilipta lugubris or similar.
Id'ed by Aus Mus (Helen Smith or Graham Milledge) as Poecilipta contorqua.
Noticed running around _fast_ on the ground. Dolichoderus scabridus a possible model - similar body and legs colours,
14 Feb 2017 - knocked out with CO2, then pickled in 96% ethanol.","Aus Mus","Ant mimic spider","KS.129707","Aus Mus",9,NA,NA,NA,NA,0.784360725311707
"Dorsal","Dolichoderus clarki","412","model","Specimen",412,"2017-04-09 12:07:40 UTC","2017-08-20 07:30:55 UTC",412,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Dolichoderus","Species","Dolichoderus clarki","(Wheeler, 1935)","","",1,7.4,"","","","","3","","","In situ",10,NA,NA,NA,NA,0.864246856651932
"Dorsal","Eurymela rubrolimbata","414","mimic","Specimen",414,"2017-08-15 16:26:03 UTC","2017-08-15 16:26:07 UTC",414,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Eurymela","Species","Eurymela rubrolimbata","(Kirkaldy, 1906)","","Juvenile hopper",2,5.2,"","Instar","","Pickled in 96% ethanol 20-Feb-2017","3","Ant mimic bug","","In collection",4,NA,NA,NA,NA,0.237399368016717
"Dorsal","Vespoidea3 sp1","416","mimic","Specimen",416,"2017-08-18 07:18:58 UTC","2017-08-18 07:18:59 UTC",416,"Animalia","Arthropoda","Insecta","Hymenoptera","","Vespoidea3","Species","Vespoidea3 sp1","","","Ant-mimic wasp",1,3.7,"","","","Collected thinking it was an ant
Pickled in 96% ethanol 1-Mar-2017","1","Ant-mimic wasp","","In collection",4,NA,NA,NA,NA,0.747640208737434
"Dorsal","Leptomyrmex sp1","419","model","Specimen",419,"2017-02-25 00:12:30 UTC","2017-02-25 00:12:39 UTC",419,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Leptomyrmex","Species","Leptomyrmex sp1","","","Large red-headed ant",2,11.7,"","","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","","","In collection",5,NA,NA,NA,NA,0.834756097259592
"Dorsal","Eurymela rubrolimbata","421","non-mimic","Specimen",421,"2017-03-27 03:00:49 UTC","2017-03-27 03:00:56 UTC",421,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Eurymela","Species","Eurymela rubrolimbata","(Kirkaldy, 1906)","","Adult hopper",1,10,"","Adult","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","3","","","In collection",6,NA,NA,NA,NA,0.129759464614517
"Dorsal","Eurymela rubrolimbata","423","mimic","Specimen",423,"2017-02-13 03:52:26 UTC","2017-02-13 03:52:27 UTC",423,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Eurymela","Species","Eurymela rubrolimbata","(Kirkaldy, 1906)","","Juvenile hopper",1,1.8,"","Early instar","","Early instar without gold colouration. 
Died in captivity,11 Feb 2017.
Frozen 19-Feb-2017
Pickled in 96% ethanol 20-Feb-2017","3","Ant mimic hopper","","In collection",4,NA,NA,NA,NA,0.0307502035367274
"Dorsal","Myrmarachne erythrocephala","424","mimic","Specimen",424,"2017-08-19 08:07:15 UTC","2017-08-19 08:07:17 UTC",424,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne erythrocephala","(Koch, 1879)","","Black salticidae with red legs",1,5.7,"","","forma ornata","On a tree with lots of Dolichoderus clarki and Eurymela hoppers.
14 Feb 2017 knocked out with CO2, pickled in 96% ethanol.
ID uncertain, looks different than all others.
","0","Ant-mimic spider","","Michael Kelly",8,NA,NA,NA,NA,0.85530397540587
"Dorsal","Apricia jovialis","426","mimic","Specimen",426,"2017-02-10 03:38:36 UTC","2017-02-10 03:38:38 UTC",426,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Apricia","Species","Apricia jovialis","(L. Koch, 1879)","Jovial jumper","Black jumper with gold bum and red legs",1,7.4,"","","","May be a mimic - colouration is similar to Dolichoderus scabridus.
14 Feb 2017 knocked out with CO2, pickled in 96% ethanol.","2","Ant-mimic spider","","Michael Kelly",13,NA,NA,NA,NA,0.649835680592944
"Dorsal","Vespoidea4 sp1","430","non-mimic","Specimen",430,"2017-02-22 12:31:30 UTC","2017-07-03 13:26:01 UTC",430,"Animalia","Arthropoda","Insecta","Hymenoptera","Mutillidae","Vespoidea4","Species","Vespoidea4 sp1","","","",1,5.1,"","","","Walking on tree trunk, looked like an ant except it moved slightly differently
Pickled in 96% ethanol 1-Mar-2017","","","","In collection",4,NA,NA,NA,NA,0.730676119662273
"Dorsal","Odontomachus sp1","433","model","Specimen",433,"2017-03-25 05:16:11 UTC","2017-03-25 05:16:13 UTC",433,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Odontomachus","Species","Odontomachus sp1","","","",1,9.4,"","","","Spectra recorded
Pickled in 96% ethanol 29-Mar-2017.","Chris Burwell","","","In collection",8,NA,NA,NA,NA,0.863562811316917
"Dorsal","Riptortus abdominalis","434","mimic","Specimen",434,"2017-03-26 07:55:03 UTC","2017-03-26 07:55:04 UTC",434,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Riptortus","Species","Riptortus abdominalis","(Westwood, 1842)","","",1,8.7,"","Early instar","","Mimic of Oecophylla","Ryan","Ant mimic bug","","Shofner collection",6,NA,NA,NA,NA,0.776088437492987
"Dorsal","Damoetas sp (?)","4358","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male","Photo","Yes",0.758036126948753
"Dorsal","Mantid1 sp1","437","non-mimic","Specimen",437,"2017-08-17 16:39:15 UTC","2017-08-17 16:39:18 UTC",437,"Animalia","Arthropoda","Insecta","Mantodea","Mantidae","Mantid1","Species","Mantid1 sp1","","","Ant-mimic mantid",1,8.1,"","","","Pickled in 96% ethanol 29-Mar-2017.","","","","In collection",6,NA,NA,NA,NA,0.601217332979958
"Dorsal","Formicid19 sp1","438","model","Specimen",438,"2017-03-26 11:10:43 UTC","2017-03-26 11:10:45 UTC",438,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formicid19","Species","Formicid19 sp1","","","Brown ant",1,8.8,"","","","Pickled in 96% ethanol 29-Mar-2017.
Probably in Ectaheteromorph group (Ectatomma,Heteroponera,Rhytidoponera, Gnaptogenys,etc.)","","","","In collection",4,NA,NA,NA,NA,0.892629757771236
"Dorsal","Alydid3 sp1","444","mimic","Specimen",444,"2017-03-24 05:50:24 UTC","2017-03-24 05:50:27 UTC",444,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Alydid3","Species","Alydid3 sp1","","","Ant-mimic bug",1,13.6,"","5th instar","","","","Ant mimic bug","BBQKN17 L6 Sweep","Shofner collection",10,NA,NA,NA,NA,0.807812994818067
"Dorsal","Alydid2 sp1","446","non-mimic","Specimen",446,"2017-03-24 05:02:44 UTC","2017-08-20 07:29:15 UTC",446,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Alydid2","Species","Alydid2 sp1","","","Ant-mimic bug",1,11.4,"","5th instar","","","","","BBQKN17 L6 Hsweep","Shofner collection",8,NA,NA,NA,NA,0.719242393450646
"Dorsal","Mantid2 sp1","454","non-mimic","Specimen",454,"2017-08-17 17:54:02 UTC","2017-08-17 17:54:03 UTC",454,"Animalia","Arthropoda","Insecta","Mantodea","Mantidae","Mantid2","Species","Mantid2 sp1","","","Mantid ant-mimic",1,14,"","","","Mimic of large red Rhytidoponera (according to Chris Burnell, ant taxonomist)","","","","Lost",9,NA,NA,NA,NA,0.730101642188252
"Dorsal","Cosmophasis thalassina","457","non-mimic","Specimen",457,"2017-07-07 05:49:21 UTC","2017-07-07 05:49:23 UTC",457,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Cosmophasis","Species","Cosmophasis thalassina","(C.L. Koch, 1846)","","Possible ant-mimic spider",1,2.5,"","","","Pickled in 96% ethanol 29-Mar-2017.","","","JMQK64","QM collection",9,NA,NA,NA,NA,0.448306675351876
"Dorsal","Ligonipes sp1","458","mimic","Specimen",458,"2017-08-17 16:28:48 UTC","2017-08-17 16:28:50 UTC",458,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Ligonipes","Species","Ligonipes sp1","(Karsch, 1878)","","Brown/tan jumper with fluffy front legs",1,3.5,"","Juvenile","","Collected by Barbara Baehr.
Pickled in 96% ethanol 29-Mar-2017.","Robert Whyte","Ant-mimic spider","JMQK65, RW#34","QM collection",8,NA,NA,NA,NA,0.722414961446723
"Dorsal","Damoetas sp1","459","non-mimic","Specimen",459,"2017-03-26 12:21:44 UTC","2017-03-26 12:21:46 UTC",459,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Damoetas","Species","Damoetas sp1","","","Ostensible ant-mimic spider",1,3.5,"","","","Undescribed species. Damoetas are considered to be ant mimics, but this doesn't look like one, except perhaps for the antennal illusion. Speedy runner. ","Robert Whyte","","JMQK55, RW#17","QM collection",8,NA,NA,NA,NA,0.689594656796434
"Dorsal","Riptortus abdominalis","462","mimic","Specimen",462,"2017-03-27 00:59:24 UTC","2017-03-27 00:59:28 UTC",462,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Riptortus","Species","Riptortus abdominalis","(Westwood, 1842)","","",1,11.1,"","5th instar","","Multiple photos in different environments to compare morphometric precision. Later instar possibly mimicking queen.
Pickled in 96% ethanol 29-Mar-2017.","","Ant mimic bug","","In collection",13,NA,NA,NA,NA,0.764480901277597
"Dorsal","Corinnid1 sp1","469","mimic","Specimen",469,"2017-08-17 12:09:14 UTC","2017-08-17 12:09:16 UTC",469,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Corinnid1","Species","Corinnid1 sp1","","","Strobe ant mimic?",1,3.9,"","","","Looks like a strobe ant (Opisthopsis sp).
Found by sweeping.","Robert Whyte","Possible ant-mimic spider","JMQK69","QM collection",10,NA,NA,NA,NA,0.81214772121366
"Dorsal","Cosmophasis bitaeniata","473","mimic","Specimen",473,"2017-07-09 14:12:40 UTC","2017-07-09 14:12:49 UTC",473,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Cosmophasis","Species","Cosmophasis bitaeniata","(Keyserling, 1882)","Green Tree Ant Cosmophasis","",1,5.3,"","","","","1","Ant-mimic spider","JMQK70","QM collection",8,NA,NA,NA,NA,0.590296301914338
"Dorsal","Myrmarachne luctuosa","475","mimic","Specimen",475,"2017-03-22 01:00:55 UTC","2017-08-20 07:36:12 UTC",475,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","","Golden bum mimicking jumper",1,4.9,"","","","Stored in 80% ethanol to match specimens in RNAlater.
TODO check ID","","Ant-mimic spider","","In RNAlater, freezer in Darrel Kemp's lab",7,NA,NA,NA,NA,0.811778868145199
