family,class,species,forma,sex,angle,webUrl,isMimic,background,antennalIllusion,photographer
Salticidae,Arachnida,Judalana lutea,,,Anterior,images/2651.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Ligonipes semitectus,,,Lateral,images/2751.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Judalana lutea,,,Lateral,images/3199.jpg,TRUE,Artificial,FALSE,Jim
Corinnidae,Arachnida,Castineira cingulata,,,Dorsal,images/Z002.jpg,TRUE,Natural,FALSE,Tom Murray
Corinnidae,Arachnida,Corrinnomma sp.,,,Dorsal,images/Z003.jpg,TRUE,Natural,FALSE,Nicky Bay
Corinnidae,Arachnida,Corrinnomma sp.,,,Lateral,images/Z004.jpg,TRUE,Natural,TRUE,Nicky Bay
Corinnidae,Arachnida,Corrinnomma sp.,,,Anterior,images/Z005.jpg,TRUE,Natural,FALSE,Nicky Bay
Corinnidae,Arachnida,Myrmecotypus rettenmeyeri,,,Anterior,images/Z008.jpg,TRUE,Natural,TRUE,José Miguel Díaz Miranda
Corinnidae,Arachnida,Sphecotypus niger,,,Anterior,images/Z009.jpg,TRUE,Natural,TRUE,Alex Wild
Corinnidae,Arachnida,Sphecotypus niger,,,Dorsal,images/Z010.jpg,TRUE,Natural,FALSE,Alex Wild
Salticidae,Arachnida,Myrmarachne macleayana,robsoni,Female,Lateral,images/943.jpg,TRUE,Natural,TRUE,Jim
Salticidae,Arachnida,Myrmarachne macleayana,foreli,Female,Dorsal,images/3109.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne macleayana,foreli,Female,Lateral,images/3112.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne macleayana,foreli,Female,Anterior,images/3114.jpg,TRUE,Artificial,TRUE,Jim
Salticidae,Arachnida,Myrmarachne smaragdina,,Male,Dorsal,images/4013.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne smaragdina,,Male,Lateral,images/4017.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne smaragdina,,Female,Dorsal,images/4029.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne smaragdina,,Female,Lateral,images/4030.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne helensmithae,,Female,Lateral,images/4199.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne macleayana,robsoni,Male,Dorsal,images/4230.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne macleayana,robsoni,Male,Lateral,images/4233.jpg,TRUE,Artificial,TRUE,Jim
Salticidae,Arachnida,Myrmarachne helensmithae,,Female,Dorsal,images/4755.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Ligonipes lacertosus,,,Dorsal,images/Z020.jpg,TRUE,Natural,FALSE,Robert Whyte
Salticidae,Arachnida,Ligonipes lacertosus,,,Lateral,images/Z021.jpg,TRUE,Natural,FALSE,Robert Whyte
Salticidae,Arachnida,Ligonipes lacertosus,,,Lateral,images/Z028.jpg,TRUE,Natural,FALSE,Robert Whyte
Salticidae,Arachnida,Myrmarachne macaulayi,,Female,Dorsal,images/Z029.jpg,TRUE,Natural,TRUE,Robert Whyte
Salticidae,Arachnida,Myrmarachne macaulayi,,Male,Lateral,images/Z030.jpg,TRUE,Natural,TRUE,Robert Whyte
Salticidae,Arachnida,Myrmarachne macaulayi,,Female,Posterior,images/Z031.jpg,TRUE,Natural,TRUE,Robert Whyte
Corinnidae,Arachnida,Nyssus luteofinis,,,Lateral,images/Z033.jpg,TRUE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Nyssus luteofinis,,,Lateral,images/Z039.jpg,TRUE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Iridonyssus kohouti,,,Dorsal,images/Z040.jpg,TRUE,Natural,FALSE,Robert Whyte
Corinnidae,Arachnida,Nyssus coloripes,,,Lateral,images/Z041.jpg,TRUE,Natural,FALSE,Robert Whyte
Salticidae,Arachnida,Myrmapana plataleoides,,,Dorsal,images/s01.jpg,TRUE,Natural,FALSE,Pavel Kirillov
Corinnidae,Arachnida,Aetius nocturnus,,,Dorsal,images/s22.jpg,TRUE,Natural,FALSE,Orionmystery
Salticidae,Arachnida,Rhombonotus gracilis,,,Lateral,images/1635.jpg,TRUE,Natural,FALSE,Jim
Salticidae,Arachnida,Rhombonotus gracilis,,,Dorsal,images/1632.jpg,TRUE,Natural,FALSE,Jim
Salticidae,Arachnida,Cosmophasis bitaeniata,,,Lateral,images/532.jpg,TRUE,Natural,FALSE,Jim
Salticidae,Arachnida,Cosmophasis bitaeniata,,,Anterior,images/517.jpg,TRUE,Natural,FALSE,Jim
Salticidae,Arachnida,Cosmophasis bitaeniata,,,Dorsal,images/516.jpg,TRUE,Natural,FALSE,Jim
Formicidae,Insecta,Dolichoderus clarki,,,Anterior,images/490.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Dolichoderus clarki,,,Lateral right side,images/491.jpg,FALSE,Natural,FALSE,Jim
Formicidae,Insecta,Dolichoderus clarki,,,Dorsal,images/493.jpg,FALSE,Natural,FALSE,Jim
Cicadellidae,Insecta,Eurymela rubrolimbata,,,Dorsal,images/650.jpg,FALSE,Natural,FALSE,Jim
Cicadellidae,Insecta,Eurymela rubrolimbata,,,Lateral right side,images/651.jpg,FALSE,Natural,FALSE,Jim
Cicadellidae,Insecta,Eurymela rubrolimbata (nymph),,,Lateral right side,images/475.jpg,TRUE,Natural,FALSE,Jim
Cicadellidae,Insecta,Eurymela rubrolimbata (nymph),,,Dorsal,images/474.jpg,TRUE,Natural,FALSE,Jim
