"angle","species","mimicType","imageabletype","imageableid","created_at","updated_at","id","kingdom","phylum","class","order","family","genus","taxonRank","scientificName","scientificNameAuthorship","vernacularName","bodylength","Ant.mimic.","accuracy"
"Dorsal","Camponotus nigriceps","model","Specimen",267,"2017-01-06 03:44:53 UTC","2017-01-06 03:44:54 UTC",267,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Species","Camponotus nigriceps","(Smith, 1858)","",15.3,NA,0.889365874712707
"Dorsal","Camponotus sp1","model","Specimen",77,"2017-01-06 03:44:42 UTC","2017-01-06 03:44:44 UTC",77,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Species","Camponotus sp1","","",7.6,NA,0.894406933975193
"Dorsal","Castianeira cingulata","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.780160833761187
"Dorsal","Castianeira longipalpa","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.569898065487332
"Dorsal","Castianeira trilineata","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.682186443267852
"Dorsal","Cicadellid1 sp1","non-mimic","Specimen",14,"2017-08-21 12:51:13 UTC","2017-08-21 12:51:18 UTC",14,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Cicadellid1","Species","Cicadellid1 sp1","","",2.5,NA,0.0124042852015842
"Dorsal","Cicadellid2 sp1","non-mimic","Specimen",506,"2017-04-11 01:17:46 UTC","2017-04-11 01:21:52 UTC",506,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Cicadellid2","Species","Cicadellid2 sp1","","",1.8,NA,0
"Dorsal","Coleoptera2 sp1","mimic","Specimen",381,"2017-01-06 03:45:03 UTC","2017-01-06 04:03:27 UTC",381,"Animalia","Arthropoda","Insecta","Coleoptera","","Coleoptera2","Species","Coleoptera2 sp1","","",5.925,NA,0.706131787046154
"Dorsal","Coleoptera3 sp1","mimic","Specimen",404,"2017-04-24 13:20:16 UTC","2017-04-24 13:20:17 UTC",404,"Animalia","Arthropoda","Insecta","Coleoptera","","Coleoptera3","Species","Coleoptera3 sp1","","",11,NA,0.616705416728742
"Dorsal","Colobathristid1 sp1","mimic","Specimen",884,"2017-08-17 14:28:48 UTC","2017-08-17 14:28:52 UTC",884,"Animalia","Arthropoda","Insecta","Hemiptera","Colobathristidae","Colobathristid1","Species","Colobathristid1 sp1","","",7,NA,0.708147525712702
"Dorsal","Copa kabana","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.6350792356648
"Dorsal","Corinnid1 sp1","mimic","Specimen",469,"2017-08-17 12:09:14 UTC","2017-08-17 12:09:16 UTC",469,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Corinnid1","Species","Corinnid1 sp1","","",3.95,NA,0.750590043018626
"Dorsal","Corinnomma sp.","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.856139588198424
"Dorsal","Cosmophasis baehrae","non-mimic","Specimen",919,"2017-07-19 14:40:16 UTC","2017-07-19 14:40:18 UTC",919,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Cosmophasis","Species","Cosmophasis baehrae","(Zabka & Waldock, 2012)","",3.75,NA,0.626307128395458
"Dorsal","Cosmophasis bitaeniata","mimic","Specimen",397,"2017-07-08 07:21:36 UTC","2017-07-08 07:21:40 UTC",397,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Cosmophasis","Species","Cosmophasis bitaeniata","(Keyserling, 1882)","Green Tree Ant Cosmophasis",6.7,NA,0.651944154075369
"Dorsal","Cosmophasis micarioides","mimic","Specimen",913,"2017-07-08 05:52:45 UTC","2017-07-08 05:52:48 UTC",913,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Cosmophasis","Species","Cosmophasis micarioides","(L. Koch, 1880)","",5.2,NA,0.528096864076499
"Dorsal","Cosmophasis thalassina","non-mimic","Specimen",457,"2017-07-07 05:49:21 UTC","2017-07-07 05:49:23 UTC",457,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Cosmophasis","Species","Cosmophasis thalassina","(C.L. Koch, 1846)","",3.71428571428571,NA,0.624218827228184
"Dorsal","Crematogaster sp1","model","Specimen",31,"2017-01-06 03:44:23 UTC","2017-01-06 03:44:25 UTC",31,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Crematogaster","Species","Crematogaster sp1","","",3.6,NA,0.89990101215506
"Dorsal","Creugas gulosus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.60195173753942
"Dorsal","Daerlac apicalis","mimic","Specimen",405,"2017-02-01 11:14:24 UTC","2017-02-01 23:09:54 UTC",405,"Animalia","Arthropoda","Insecta","Hemiptera","Rhyparochromidae","Daerlac","Species","Daerlac apicalis","(Distant, 1904)","",6.36,NA,0.708414191087416
"Dorsal","Daerlac nigricans","mimic","Specimen",642,"2017-05-26 01:58:26 UTC","2017-05-26 01:58:35 UTC",642,"Animalia","Arthropoda","Insecta","Hemiptera","Rhyparochromidae","Daerlac","Species","Daerlac nigricans","(Distant, 1918)","",7.45,NA,0.753957575199639
"Dorsal","Damoetas nitidus","mimic","Specimen",591,"2017-08-17 14:06:50 UTC","2017-08-17 14:06:52 UTC",591,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Damoetas","Species","Damoetas nitidus","(L. Koch, 1880)","Shining Damoetas",3.2,NA,0.822171273426067
"Dorsal","Damoetas sp (?)","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.759347269384033
"Dorsal","Damoetas sp1","non-mimic","Specimen",459,"2017-03-26 12:21:44 UTC","2017-03-26 12:21:46 UTC",459,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Damoetas","Species","Damoetas sp1","","",3.5,NA,0.717036571726944
"Dorsal","Damoetas sp3","mimic","Specimen",617,"2017-05-11 12:23:16 UTC","2017-05-11 12:23:19 UTC",617,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Damoetas","Species","Damoetas sp3","","",3.6,NA,0.689931004438597
"Dorsal","Diptera1 sp1","mimic","Specimen",274,"2017-01-06 04:02:13 UTC","2017-01-06 04:02:36 UTC",274,"Animalia","Arthropoda","Insecta","Diptera","","Diptera1","Species","Diptera1 sp1","","",12.6,NA,0.707498860886991
"Dorsal","Disnyssus helenmirrenae","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.617146944858006
"Dorsal","Dolichoderus clarki","model","Specimen",412,"2017-04-09 12:07:40 UTC","2017-08-20 07:30:55 UTC",412,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Dolichoderus","Species","Dolichoderus clarki","(Wheeler, 1935)","",7.4,NA,0.851986623001561
"Dorsal","Eilica sp1","mimic","Specimen",593,"2017-05-16 01:47:09 UTC","2017-05-16 01:47:11 UTC",593,"Animalia","Arthropoda","Arachnida","Araneae","Gnaphosidae","Eilica","Species","Eilica sp1","","Yellow-tailed Eilica",4.16,NA,0.46789966405599
"Dorsal","Eurybrachyid1 sp1","non-mimic","Specimen",16,"2017-01-06 03:44:20 UTC","2017-01-06 03:44:21 UTC",16,"Animalia","Arthropoda","Insecta","Hemiptera","Eurybrachyidae","Eurybrachyid1","Species","Eurybrachyid1 sp1","","",8.4,NA,0.311600553786107
"Dorsal","Eurymela rubrolimbata","mimic","Specimen",393,"2017-08-15 15:30:25 UTC","2017-08-15 15:30:29 UTC",393,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Eurymela","Species","Eurymela rubrolimbata","(Kirkaldy, 1906)","",6.56,NA,0.123736148396685
"Dorsal","Formicid1 sp1","model","Specimen",537,"2017-04-11 00:22:38 UTC","2017-04-11 00:22:40 UTC",537,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formicid1","Species","Formicid1 sp1","","",4.35,NA,0.898172923165617
"Dorsal","Formicid10 sp1","model","Specimen",667,"2017-06-26 14:31:31 UTC","2017-06-26 14:31:33 UTC",667,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formicid10","Species","Formicid10 sp1","","",5,NA,0.857113353184347
"Dorsal","Formicid13 sp1","model","Specimen",843,"2017-07-02 09:37:47 UTC","2017-07-02 09:37:49 UTC",843,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formicid13","Species","Formicid13 sp1","","",5.6,NA,0.852270926437034
"Dorsal","Formicid19 sp1","model","Specimen",438,"2017-03-26 11:10:43 UTC","2017-03-26 11:10:45 UTC",438,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formicid19","Species","Formicid19 sp1","","",8.8,NA,0.880438539098634
"Dorsal","Formicid20 sp1","model","Specimen",21,"2017-05-31 14:49:49 UTC","2017-05-31 14:49:51 UTC",21,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formicid20","Species","Formicid20 sp1","","",2.3,NA,0.831070759516765
"Dorsal","Formicid7 sp1","model","Specimen",690,"2017-05-20 00:59:38 UTC","2017-05-20 00:59:40 UTC",690,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Formicid7","Species","Formicid7 sp1","","",7,NA,0.903209987496171
"Dorsal","Froggattella sp1","model","Specimen",13,"2017-01-06 03:44:14 UTC","2017-01-06 03:44:16 UTC",13,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Froggattella","Species","Froggattella sp1","","",3.8,NA,0.896265490375729
"Dorsal","Helpis minitabunda","non-mimic","Specimen",266,"2017-01-06 03:44:51 UTC","2017-01-06 03:44:53 UTC",266,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Helpis","Species","Helpis minitabunda","(L. Koch, 1880)","",8.2,NA,0.566556944444988
"Dorsal","Hemiptera1 sp1","mimic","Specimen",531,"2017-04-06 23:35:09 UTC","2017-04-06 23:35:11 UTC",531,"Animalia","Arthropoda","Insecta","Hemiptera","","Hemiptera1","Species","Hemiptera1 sp1","","",3.2,NA,0.816205676913147
"Dorsal","Heteroptera2 sp1","mimic","Specimen",851,"2017-08-16 11:11:27 UTC","2017-08-16 11:11:29 UTC",851,"Animalia","Arthropoda","Insecta","Hemiptera","","Heteroptera2","Species","Heteroptera2 sp1","","",3.05,NA,0.566234086449937
"Dorsal","Holoplatys sp2","non-mimic","Specimen",666,"2017-06-26 13:15:41 UTC","2017-06-26 13:15:49 UTC",666,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Holoplatys","Species","Holoplatys sp2","","",6,NA,0.670484074719854
"Dorsal","Holoplatys sp4","mimic","Specimen",518,"2017-04-11 00:50:59 UTC","2017-04-11 00:51:00 UTC",518,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Holoplatys","Species","Holoplatys sp4","","",3.2,NA,0.809050825851452
"Dorsal","Iridonyssus formicans","mimic","Specimen",610,"2017-05-11 12:28:56 UTC","2017-05-11 12:28:59 UTC",610,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Iridonyssus","Species","Iridonyssus formicans","(Raven, 2015)","",3.57142857142857,NA,0.696756965612385
"Dorsal","Iridonyssus kohouti","mimic","Specimen",951,"2017-08-18 13:24:20 UTC","2017-08-18 13:24:28 UTC",951,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Iridonyssus","Species","Iridonyssus kohouti","(Raven, 2015)","",2.8,NA,0.69320820881843
"Dorsal","Judalana lutea","mimic","Specimen",551,"2017-04-19 01:24:34 UTC","2017-04-19 01:24:35 UTC",551,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Judalana","Species","Judalana lutea","(Rix, 1999)","",3.5,NA,0.796961198377279
"Dorsal","Lamponid2 sp1","non-mimic","Specimen",682,"2017-06-03 13:34:25 UTC","2017-06-03 14:14:44 UTC",682,"Animalia","Arthropoda","Arachnida","Araneae","Lamponidae","Lamponid2","Species","Lamponid2 sp1","","",7.6,NA,0.772345262192374
"Dorsal","Leichhardteus albofasciatus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.331743533687563
"Dorsal","Leptomyrmex sp1","model","Specimen",419,"2017-02-25 00:12:30 UTC","2017-02-25 00:12:39 UTC",419,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Leptomyrmex","Species","Leptomyrmex sp1","","",11.7,NA,0.84917909760866
"Dorsal","Leptopicia bimaculata","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.828049179309759
"Dorsal","Ligonipes lacertosus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.702222080152797
"Dorsal","Ligonipes semitectus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.758362658131738
"Dorsal","Ligonipes sp1","mimic","Specimen",458,"2017-08-17 16:28:48 UTC","2017-08-17 16:28:50 UTC",458,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Ligonipes","Species","Ligonipes sp1","(Karsch, 1878)","",3.5,NA,0.64641575378259
"Dorsal","Ligonipes sp2","mimic","Specimen",540,"2017-04-15 00:53:52 UTC","2017-04-15 00:53:54 UTC",540,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Ligonipes","Species","Ligonipes sp2","","",4.6,NA,0.77255127656057
"Dorsal","Lycosid3 sp1","non-mimic","Specimen",231,"2017-06-03 14:26:41 UTC","2017-06-03 14:26:43 UTC",231,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Lycosid3","Species","Lycosid3 sp1","","",5.4,NA,0.632745905806692
"Dorsal","Lycosid4 sp1","non-mimic","Specimen",249,"2017-06-03 15:55:54 UTC","2017-06-03 15:55:56 UTC",249,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Lycosid4","Species","Lycosid4 sp1","","",3.05,NA,0.685424391845522
"Dorsal","Mantid1 sp1","non-mimic","Specimen",437,"2017-08-17 16:39:15 UTC","2017-08-17 16:39:18 UTC",437,"Animalia","Arthropoda","Insecta","Mantodea","Mantidae","Mantid1","Species","Mantid1 sp1","","",8.1,NA,0.51614528924044
"Dorsal","Mantid2 sp1","non-mimic","Specimen",454,"2017-08-17 17:54:02 UTC","2017-08-17 17:54:03 UTC",454,"Animalia","Arthropoda","Insecta","Mantodea","Mantidae","Mantid2","Species","Mantid2 sp1","","",14,NA,0.681582793681994
"Dorsal","Mazax pax","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.836786453319481
"Dorsal","Mazax spinosa","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.596541444647891
"Dorsal","Myandra bicincta","mimic","Specimen",512,"2017-03-24 04:25:32 UTC","2017-03-24 04:25:36 UTC",512,"Animalia","Arthropoda","Arachnida","Araneae","Prodidomidae","Myandra","Species","Myandra bicincta","(Simon, 1908)","",1.95,NA,0.707603573478914
"Dorsal","Myrmapana centralis","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.802287983376174
"Dorsal","Myrmapana parallela","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.826367124940606
"Dorsal","Myrmapeni chickeringi","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.798743662984887
"Dorsal","Myrmaplata plataleoides","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.87529159513955
"Dorsal","Myrmarachne bicolor","mimic","Specimen",810,"2017-08-17 18:08:38 UTC","2017-08-17 18:08:41 UTC",810,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne bicolor","(L. Koch, 1879)","",5.8,NA,0.746484545630595
"Dorsal","Myrmarachne erythrocephala","mimic","Specimen",346,"2017-01-06 03:44:56 UTC","2017-01-06 03:44:58 UTC",346,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne erythrocephala","(Koch, 1879)","",5.28333333333333,NA,0.846443031290174
"Dorsal","Myrmarachne formicaria","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.677976193870892
"Dorsal","Myrmarachne helensmithae","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.734665512979189
"Dorsal","Myrmarachne juvenile","mimic","Specimen",523,"2017-04-24 13:00:05 UTC","2017-04-24 13:03:29 UTC",523,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne juvenile","","",3.34,NA,0.864056435081672
"Dorsal","Myrmarachne luctuosa","mimic","Specimen",12,"2017-01-06 03:44:13 UTC","2017-01-06 03:44:14 UTC",12,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","",5.41052631578947,NA,0.845030639360062
"Dorsal","Myrmarachne macaulayi","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.809247949748915
"Dorsal","Myrmarachne macleayana","mimic","Specimen",479,"2017-03-19 23:49:01 UTC","2017-03-19 23:49:05 UTC",479,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne macleayana","(Bradley, 1876)","",4.48571428571429,NA,0.844926502055588
"Dorsal","Myrmarachne smaragdina","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.901233132407491
"Dorsal","Myrmecia mandibularis","model","Specimen",566,"2017-04-17 00:58:55 UTC","2017-04-17 00:58:56 UTC",566,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","Species","Myrmecia mandibularis","(Smith, 1858)","",9.85,NA,0.884904616871625
"Dorsal","Myrmecotypus rettenmeyeri","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.791702382645376
"Dorsal","Neon nellii*","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.440455324534469
"Dorsal","Nucastia supunnoides","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.74331805243606
"Dorsal","Nyssus albopunctatus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.243396285324806
"Dorsal","Nyssus avidus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.508335558308913
"Dorsal","Nyssus coloripes","non-mimic","Specimen",687,"2017-05-18 23:58:55 UTC","2017-05-18 23:58:57 UTC",687,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Nyssus","Species","Nyssus coloripes","(Walckenaer, 1805)","Orange-legged Swift Spider",5.9,NA,0.656501984367687
"Dorsal","Nyssus luteofinis","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.726996708050519
"Dorsal","Nyssus paradoxus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.685262745329224
"Dorsal","Odontomachus sp1","model","Specimen",433,"2017-03-25 05:16:11 UTC","2017-03-25 05:16:13 UTC",433,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Odontomachus","Species","Odontomachus sp1","","",9.4,NA,0.844841372474893
"Dorsal","Oecophylla smaragdina","model","Specimen",500,"2017-03-21 01:45:15 UTC","2017-03-21 01:45:17 UTC",500,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Oecophylla","Species","Oecophylla smaragdina","(Fabricius, 1775)","Green Tree Ant",6.6,NA,0.83182849951266
"Dorsal","Opisthopsis sp1","model","Specimen",509,"2017-08-19 08:03:17 UTC","2017-08-19 08:03:19 UTC",509,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Opisthopsis","Species","Opisthopsis sp1","","Strobe ant",3.8,NA,0.847047150914685
"Dorsal","Oxyopes elegans","non-mimic","Specimen",260,"2017-01-06 03:44:48 UTC","2017-01-06 03:44:50 UTC",260,"Animalia","Arthropoda","Arachnida","Araneae","Oxyopidae","Oxyopes","Species","Oxyopes elegans","(L. Koch, 1878)","Elegant Lynx Spider",6.9,NA,0.638532073714656
"Dorsal","Poecilipta contorqua","mimic","Specimen",410,"2017-03-26 11:57:10 UTC","2017-03-26 11:57:11 UTC",410,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Poecilipta","Species","Poecilipta contorqua","","",5,NA,0.814200073605274
"Dorsal","Poecilipta kohouti","mimic","Specimen",978,"2017-08-07 09:38:17 UTC","2017-08-07 10:02:24 UTC",978,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Poecilipta","Species","Poecilipta kohouti","(Raven, 2015)","",4.53333333333333,NA,0.782794182767513
"Dorsal","Polyrhachis ammon","model","Specimen",565,"2017-04-17 01:09:06 UTC","2017-04-17 01:09:07 UTC",565,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Polyrhachis","Species","Polyrhachis ammon","(Fabricius, 1775)","",7,NA,0.809731020532384
"Dorsal","Polyrhachis monteithi","model","Specimen",829,"2017-06-24 23:53:09 UTC","2017-06-24 23:53:11 UTC",829,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Polyrhachis","Species","Polyrhachis monteithi","(Kohout, 2006)","",5.9,NA,0.84647691438096
"Dorsal","Polyrhachis sp1","model","Specimen",66,"2017-01-06 03:44:30 UTC","2017-01-06 03:56:54 UTC",66,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Polyrhachis","Species","Polyrhachis sp1","","",5.6,NA,0.833648320421064
"Dorsal","Polyrhachis sp2","model","Specimen",384,"2017-01-06 03:45:08 UTC","2017-01-06 04:04:34 UTC",384,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Polyrhachis","Species","Polyrhachis sp2","","",7.6,NA,0.844272973413603
"Dorsal","Reduviid1 sp1","non-mimic","Specimen",488,"2017-08-17 12:51:47 UTC","2017-08-17 12:51:48 UTC",488,"Animalia","Arthropoda","Insecta","Hemiptera","Reduviidae","Reduviid1","Species","Reduviid1 sp1","","",2.8,NA,0.711382560053071
"Dorsal","Rhombonotus gracilis","mimic","Specimen",609,"2017-08-12 13:16:30 UTC","2017-08-12 13:16:33 UTC",609,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Rhombonotus","Species","Rhombonotus gracilis","(Koch L., 1879)","",2.7,NA,0.8401754288495
"Dorsal","Rhombonotus sp1","non-mimic","Specimen",618,"2017-05-11 12:18:53 UTC","2017-05-11 12:18:54 UTC",618,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Rhombonotus","Species","Rhombonotus sp1","","",2.8,NA,0.643622988944417
"Dorsal","Rhombonotus sp2","mimic","Specimen",813,"2017-08-13 14:42:17 UTC","2017-08-13 14:43:13 UTC",813,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Rhombonotus","Species","Rhombonotus sp2","","",3.88571428571429,NA,0.807934481512556
"Dorsal","Rhombonotus sp3","mimic","Specimen",857,"2017-08-12 12:23:29 UTC","2017-08-12 12:23:33 UTC",857,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Rhombonotus","Species","Rhombonotus sp3","","",2,NA,0.837202690390453
"Dorsal","Rhytidoponera metallica","model","Specimen",567,"2017-04-17 00:40:37 UTC","2017-04-17 00:40:39 UTC",567,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Rhytidoponera","Species","Rhytidoponera metallica","(Smith, 1858)","",6.25,NA,0.896725825337296
"Dorsal","Riptortus abdominalis","mimic","Specimen",434,"2017-03-26 07:55:03 UTC","2017-03-26 07:55:04 UTC",434,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Riptortus","Species","Riptortus abdominalis","(Westwood, 1842)","",9.84,NA,0.792385681513815
"Dorsal","Salticid17 sp1","mimic","Specimen",925,"2017-07-05 14:45:06 UTC","2017-07-05 23:01:54 UTC",925,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Salticid17","Species","Salticid17 sp1","","",2.5,NA,0.727445870916928
